"SMU","GO","name","Gene","NCBI_ID","logFC","logCPM","PValue","FDR","Desc","avgCPM_UA159","avgCPM_GMS584"
"SMU_01","GO:0005737","cytoplasm","dnaA",1029426,-0.673500897942485,7.17397977529561,7.75089867707189e-08,5.95490472647038e-07,"chromosome replication initiator DnaA",7.46733137631008,6.79611494989266
"SMU_01","GO:0005524","ATP binding","dnaA",1029426,-0.673500897942485,7.17397977529561,7.75089867707189e-08,5.95490472647038e-07,"chromosome replication initiator DnaA",7.46733137631008,6.79611494989266
"SMU_01","GO:0003688","DNA replication origin binding","dnaA",1029426,-0.673500897942485,7.17397977529561,7.75089867707189e-08,5.95490472647038e-07,"chromosome replication initiator DnaA",7.46733137631008,6.79611494989266
"SMU_01","GO:0006270","DNA replication initiation","dnaA",1029426,-0.673500897942485,7.17397977529561,7.75089867707189e-08,5.95490472647038e-07,"chromosome replication initiator DnaA",7.46733137631008,6.79611494989266
"SMU_01","GO:0006275","regulation of DNA replication","dnaA",1029426,-0.673500897942485,7.17397977529561,7.75089867707189e-08,5.95490472647038e-07,"chromosome replication initiator DnaA",7.46733137631008,6.79611494989266
"SMU_05",NA,NA,"-",1029438,-0.779407254084286,3.74298673655888,6.77392447941234e-06,3.79480894273745e-05,"hypothetical protein SMU_05",4.05907246412769,3.29137383590248
"SMU_06","GO:0005524","ATP binding","-",1029413,-0.521090237348019,7.56882382994561,3.25015947413357e-05,0.000160067377764564,"GTP-binding protein YchF",7.80177181628817,7.28324191397794
"SMU_06","GO:0016887","ATPase activity","-",1029413,-0.521090237348019,7.56882382994561,3.25015947413357e-05,0.000160067377764564,"GTP-binding protein YchF",7.80177181628817,7.28324191397794
"SMU_06","GO:0005525","GTP binding","-",1029413,-0.521090237348019,7.56882382994561,3.25015947413357e-05,0.000160067377764564,"GTP-binding protein YchF",7.80177181628817,7.28324191397794
"SMU_06","GO:0043023","ribosomal large subunit binding","-",1029413,-0.521090237348019,7.56882382994561,3.25015947413357e-05,0.000160067377764564,"GTP-binding protein YchF",7.80177181628817,7.28324191397794
"SMU_06","GO:0043022","ribosome binding","-",1029413,-0.521090237348019,7.56882382994561,3.25015947413357e-05,0.000160067377764564,"GTP-binding protein YchF",7.80177181628817,7.28324191397794
"SMU_08","GO:0005737","cytoplasm","trcF",1029400,0.547870623005302,7.02050843956422,0.000209721724585735,0.000845489831200963,"transcription-repair coupling factor",6.71146253256981,7.25436900867146
"SMU_08","GO:0005524","ATP binding","trcF",1029400,0.547870623005302,7.02050843956422,0.000209721724585735,0.000845489831200963,"transcription-repair coupling factor",6.71146253256981,7.25436900867146
